GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore
2012R1203,2012,R12,2012-06-16,13.3,8.8,0.0,Sydney Showground,2:10 PM,7538.0,Greater Western Sydney,2.0,5.1,8.1,12.2,74.0,Richmond,4.2,6.7,9.14,11.2,86
2012R1204,2012,R12,2012-06-16,22.9,11.7,0.0,Carrara,7:40 PM,10170.0,Gold Coast,1.3,4.3,7.5,12.8,80.0,North Melbourne,1.5,3.12,7.17,11.21,87
2012R1205,2012,R12,2012-06-17,15.3,9.7,1.0,M.C.G.,1:10 PM,35492.0,Hawthorn,4.6,8.12,12.19,19.21,135.0,Brisbane Lions,6.1,7.2,8.2,11.4,70
2012R1206,2012,R12,2012-06-17,15.3,9.7,1.0,Docklands,4:40 PM,16036.0,Western Bulldogs,3.6,5.1,9.16,13.17,95.0,Port Adelaide,1.0,4.4,7.6,8.9,57
2012R1301,2012,R13,2012-06-22,18.7,10.0,0.0,S.C.G.,7:50 PM,27400.0,Sydney,7.0,8.2,10.6,12.8,80.0,Geelong,1.1,3.3,6.6,11.8,74
2012R1302,2012,R13,2012-06-23,13.7,4.0,3.2,Docklands,1:40 PM,20146.0,Western Bulldogs,2.3,5.6,5.1,7.14,56.0,Brisbane Lions,6.1,8.5,12.5,18.6,114
2012R1303,2012,R13,2012-06-23,13.7,4.0,3.2,M.C.G.,4:40 PM,62957.0,Collingwood,3.5,6.6,11.1,12.13,85.0,West Coast,2.3,7.6,9.7,12.1,82
2012R1304,2012,R13,2012-06-23,17.6,2.2,0.0,Subiaco,5:40 PM,34567.0,Fremantle,6.1,8.2,14.4,14.5,89.0,Essendon,5.2,10.4,13.5,17.11,113
2012R1305,2012,R13,2012-06-24,15.7,7.1,0.0,M.C.G.,3:15 PM,20070.0,Melbourne,6.1,11.4,18.8,20.15,135.0,Greater Western Sydney,5.1,6.2,6.2,9.3,57
2012R1306,2012,R13,2012-06-24,15.7,7.1,0.0,Docklands,4:40 PM,18866.0,North Melbourne,6.6,10.1,13.14,17.19,121.0,Adelaide,3.2,4.5,9.8,13.11,89
2012R1401,2012,R14,2012-06-29,14.4,9.9,0.0,M.C.G.,7:50 PM,65047.0,Carlton,3.2,6.2,7.6,10.1,70.0,Hawthorn,7.4,10.7,16.1,18.12,120
2012R1402,2012,R14,2012-06-30,12.2,6.6,2.2,M.C.G.,1:45 PM,44891.0,Collingwood,3.2,6.7,10.13,15.17,107.0,Fremantle,0.2,2.6,6.6,12.6,78
2012R1403,2012,R14,2012-06-30,13.5,8.6,3.4999999999999996,Football Park,1:40 PM,33780.0,Adelaide,3.0,8.1,11.2,17.4,106.0,Richmond,7.475,10.4,11.7,13.9,87
2012R1404,2012,R14,2012-06-30,20.2,5.4,0.0,Subiaco,2:40 PM,34592.0,West Coast,7.700000000000001,11.5,17.11,25.100000000000005,160.5,Gold Coast,2.3,4.8,5.9,5.1,40
2012R1405,2012,R14,2012-06-30,12.2,6.6,2.2,Docklands,7:40 PM,40824.0,Essendon,7.5,12.7,15.1,21.14,140.0,Western Bulldogs,1.2,3.5,6.7,8.8,56
2012R1406,2012,R14,2012-06-30,19.7,6.2,0.0,Stadium Australia,7:40 PM,22565.0,Sydney,3.4,8.6,14.1,19.18,132.0,Greater Western Sydney,1.2,2.5,4.7,5.8,38
2012R1407,2012,R14,2012-07-01,11.7,5.7,1.2,Kardinia Park,1:10 PM,13736.0,Geelong,3.4,6.8,9.1,14.15,99.0,Port Adelaide,2.3,2.7,6.9,8.13,61
2012R1408,2012,R14,2012-07-01,23.4,9.8,0.0,Gabba,3:15 PM,22144.0,Brisbane Lions,6.1,9.6,13.11,18.14,122.0,Melbourne,3.6,3.8,4.11,8.13,61
2012R1409,2012,R14,2012-07-01,10.0,5.0,0.8,Docklands,4:40 PM,33106.0,St Kilda,6.2,9.5,10.11,15.13,103.0,North Melbourne,3.1,9.3,13.5,21.1,136
2012R1501,2012,R15,2012-07-06,11.4,4.0,0.0,M.C.G.,7:50 PM,75890.0,Collingwood,1.5,4.9,6.12,8.14,62.0,Carlton,3.1,7.4,8.11,12.13,85
2012R1502,2012,R15,2012-07-07,13.0,3.9,0.0,Bellerive Oval,1:45 PM,14113.0,North Melbourne,5.1,9.3,11.5,13.6,84.0,West Coast,3.2,4.6,8.8,12.14,86
